date,Q,ETpot,P,air_temp_proxy,soil_temperature_5cm
1999-09-29,0.3001831193008665,0.794813,16.1433,12.295238036413659,13.9342
1999-09-30,0.4438221446111876,0.9811030000000001,11.1587,12.469525848417144,14.1508
1999-10-01,0.5364019851432306,1.43055,9.28122,11.454068005947738,12.8714
1999-10-02,0.4460665043816614,1.1200299999999999,4.321969999999999,11.591468635162537,13.0471
1999-10-03,0.4107178379966995,1.00416,1.47691,10.264291119969341,11.3116
1999-10-04,0.4056680285131336,0.704034,7.3796,9.31509020558939,10.0155
1999-10-05,0.5313521756596646,0.678284,2.2008099999999997,9.132721014382215,9.76159
1999-10-06,0.5066642181844532,0.521435,0.55147,8.774183298684957,9.25865
1999-10-07,0.43147816587358206,0.661026,0.050334,9.043548388745917,9.63694
1999-10-08,0.42530617650477903,0.483417,10.1759,8.694755515874522,9.14666
1999-10-09,0.4556050334061749,0.688342,4.52765,10.337381949005456,11.4095
1999-10-10,0.4124011078245549,0.531971,1.35464,10.952980617852782,12.2231
1999-10-11,0.4129621977671733,0.589655,1.41198,11.083781043516526,12.3935
1999-10-12,0.4124011078245549,0.7,0.0,10.451652447988968,11.562
1999-10-13,0.38715206040672495,0.7421949999999999,0.00626569,9.053402646495082,9.65073
1999-10-14,0.3832244308083959,0.458074,0.0,8.469816697536785,8.82864
1999-10-15,0.3607808331036583,0.6767880000000001,0.0,9.378394083784416,10.1033
1999-10-16,0.3456314046529603,0.765621,0.0,7.794890854650826,7.87124
1999-10-17,0.3192601773498935,0.702042,0.0,6.454882289757299,6.01719
1999-10-18,0.3119660080958538,0.785651,0.0,5.890117377986904,5.28537
1999-10-19,0.2850336908501685,0.817936,0.0,5.651119868005634,4.98844
1999-10-20,0.2732508020551813,0.772436,0.0,5.619737623191571,4.95006
1999-10-21,0.25697919371924643,0.4815100000000001,0.0,5.92289689987368,5.32672
1999-10-22,0.2524904741782989,0.691623,0.0,7.694569626684079,7.72922
1999-10-23,0.25641810377662805,0.32551599999999997,0.435442,8.505342691903346,8.87894
1999-10-24,0.2687620825142337,0.426184,6.4825099999999996,8.38188015013514,8.70404
1999-10-25,0.27998388136660257,0.301142,0.00895649,8.757022937389527,9.23447
1999-10-26,0.2390243155554563,0.627861,0.329509,8.850737803855964,9.36641
1999-10-27,0.23958540549807475,0.547345,0.028933999999999998,8.939924423604355,9.49171
1999-10-28,0.23397450607189035,0.33889,0.00626569,7.760118718795391,7.82199
1999-10-29,0.24912393452258824,0.5702149999999999,0.0,8.98083247532629,9.54909
1999-10-30,0.24912393452258824,0.6,11.6232,9.487067074523342,10.2536
1999-10-31,0.3546088437348553,1.0067700000000002,0.0,9.27694615247722,9.96251
1999-11-01,0.2771784316535104,0.7,9.580860000000001,8.150613745065849,8.37592
1999-11-02,0.6003662386017329,0.4,10.8007,10.066959729500127,11.0459
1999-11-03,1.0492381926964869,0.40321,0.0163264,8.1478522796184,8.372
1999-11-04,0.7462496236825279,0.4,0.0,6.128285076595449,5.58909
1999-11-05,0.35180339402176314,0.302321,2.4291400000000003,6.202377656987987,5.68508
1999-11-06,0.3989349492017121,0.660355,6.61952,7.15977486586233,6.97812
1999-11-07,0.6620861322897615,0.229694,1.9540799999999998,5.769297799848626,5.13425
1999-11-08,0.4791708109961495,0.29790300000000003,0.191119,6.643222069536665,6.26952
1999-11-09,0.3417037750546312,0.21727,1.30122,6.235459642282396,5.72816
1999-11-10,0.32318780694822263,0.335864,6.0079,5.939957990053798,5.3483
1999-11-11,0.3383372353989205,0.386169,0.0,4.787707047176777,3.98689
1999-11-12,0.4802929908813864,0.273435,0.0,4.325061356618455,3.49757
1999-11-13,0.459532663004504,0.17238499999999998,0.353635,3.838362293428429,3.01759
1999-11-14,0.4118400178819365,0.190929,1.09559,3.774809013137637,2.95745
1999-11-15,0.4101567480540811,0.230814,0.0,1.9878619644703082,1.47748
1999-11-16,0.4387723351276217,0.08679680000000001,0.475574,0.20977780260805473,0.3231
1999-11-17,0.4584104831192671,0.126627,3.34754,0.15308352820971954,0.290285
1999-11-18,0.40342366874265984,0.197854,9.63149,0.5266843892916331,0.510601
1999-11-19,0.3888353302345803,0.104124,1.9583099999999998,0.4429684029517836,0.460384
1999-11-20,0.3905186000624356,0.0428445,0.435593,0.49480842789201257,0.491421
1999-11-21,0.35180339402176314,0.0,0.432961,0.31376563135635643,0.383855
1999-11-22,0.3579753833905661,0.0,14.1593,0.20096515540808452,0.317985
1999-11-23,0.4337225256440557,0.1,1.8147099999999998,0.3204249854050996,0.387771
1999-11-24,0.5162027472089666,0.1,0.691341,0.7451931090513386,0.644083
1999-11-25,0.4842206204797155,0.1,2.0022900000000003,2.0659928347358285,1.5346
1999-11-26,1.3017286668747854,0.188148,0.0876325,3.409076644359133,2.62225
1999-11-27,1.413946655398474,0.186797,0.8582860000000001,2.0162592793439496,1.49817
1999-11-28,0.6003662386017329,0.264322,0.0,4.080902259921276,3.25243
1999-11-29,1.5037210462174246,0.312554,0.0,3.183783836151298,2.42467
1999-11-30,0.7069733276992369,0.29094699999999996,1.32877,3.0675048265943494,2.32524
1999-12-01,0.9762965001560892,0.422538,3.6429099999999996,5.007637181122462,4.23111
1999-12-02,0.9257984053204292,0.66106,1.06912,4.578363228364773,3.7614
1999-12-03,1.2400087731867568,0.769393,5.1714400000000005,4.476944830298736,3.65459
1999-12-04,1.352226761710445,0.361039,3.49359,3.4014130818114707,2.61542
1999-12-05,1.3241722645795229,0.211243,0.784687,1.7203351300227356,1.28643
1999-12-06,1.2568414714653102,0.194076,0.76386,1.0330320693974404,0.825467
1999-12-07,1.1895106783510971,0.45069,9.4572,4.127731145750629,3.29876
1999-12-08,2.0199237934263907,0.45096899999999995,0.291227,4.640105942315023,3.8272
1999-12-09,1.9077058049027031,0.46136499999999997,2.1975599999999997,5.513293278289247,4.82096
1999-12-10,1.683269827855326,0.30571,0.027814299999999997,4.451855468790802,3.62841
1999-12-11,1.2063433766296503,0.405794,28.426,4.204606275915976,3.37552
1999-12-12,5.22935826520388,1.02025,10.7847,6.45898759566002,6.02265
1999-12-13,5.150805673237298,0.564401,8.02154,3.8930808854314582,3.06983
1999-12-14,4.35405795471911,0.330773,3.3080199999999995,2.8892132257104572,2.17604
1999-12-15,3.5236448396438163,0.08151,1.01454,1.0861101640388293,0.859632
1999-12-16,2.5922355348972017,0.0,1.1904299999999999,0.2804708311445387,0.364322
1999-12-17,1.9077058049027031,0.158091,6.34248,0.1292340121972692,0.276545
1999-12-18,1.9582038997383624,0.146456,2.73619,0.2578012431212087,0.351066
1999-12-19,2.0311455922787602,0.07996510000000001,0.35380300000000003,0.16285774067722886,0.295927
1999-12-20,1.3915030576937362,0.017991999999999998,0.41280500000000003,0.06760638450604362,0.241215
1999-12-21,1.3241722645795229,0.0,0.038415,0.07954561352675898,0.24804
1999-12-22,1.1109580863845152,0.0,0.0200963,-0.0048415926462291314,0.2
1999-12-23,0.8921330087633228,0.0,2.0122400000000003,-0.14714780852168696,0.120025
1999-12-24,0.7911368190920033,0.17145,2.9669,-0.0048415926462291314,0.2
1999-12-25,1.3466158622842608,0.856247,3.83958,2.3644758494793,1.75859
1999-12-26,2.8952241039111613,0.679537,21.1151,2.216151179720492,1.64612
1999-12-27,4.483108641521351,0.375019,1.4788,2.0028361220682673,1.48838
1999-12-28,3.3889832534153896,0.106734,1.04124,0.7974144589386867,0.676513
1999-12-29,2.5978464343233867,0.17366199999999998,1.75908,0.6477264253931125,0.584106
1999-12-30,2.1040872848191574,0.17160999999999998,3.7528099999999998,0.6272226080966896,0.571579
1999-12-31,1.8852622071979648,0.0909289,0.679385,0.6207090749750999,0.567606
2000-01-01,1.5149428450697937,0.0999093,3.32614,1.1328723792816189,0.889922
2000-01-02,1.924538503181256,0.1,0.039851300000000006,1.4384189629132704,1.09236
2000-01-03,1.6552153307244042,0.170151,0.612631,1.8392935923228473,1.37053
2000-01-04,1.413946655398474,0.298046,8.77847,3.097903764707442,2.35107
2000-01-05,2.99622029358248,0.391596,0.0208071,3.6651652604958116,2.85503
2000-01-06,2.4631848480949605,0.1,1.33804,1.6762328221241285,1.25559
2000-01-07,2.165807178507186,0.199909,0.0150631,3.460297281240984,2.6681
2000-01-08,1.896484006050334,0.23957199999999998,3.5466800000000003,3.0797136724297562,2.3356
2000-01-09,1.9189276037550718,0.13989200000000002,2.94678,3.348608577226907,2.56857
2000-01-10,1.8235423135099365,0.16950199999999999,0.0042956,2.150544730281778,1.59711
2000-01-11,1.5654409399054532,0.09528939999999997,0.0,0.8795775000761386,0.727961
